pair_id,label,method,horizon_ms,block_index,target_frame_index,target_frame_start_sample,target_reference_sample,target_time_s,target_odd_cfo_hz,cutoff_sample,cutoff_time_s,training_cutoff_frame_start_sample,training_stop_reference_sample,training_stop_time_s,last_training_age_ms,actual_forecast_s,selected_history_ms,cfo_hz_at_cutoff,rate_hz_s,prediction_hz,prediction_sigma_hz,odd_residual_hz
D1:125351941:312500samples,D1,fixed_500ms,125.0,50,855,125351941,125353613,50.1414452,-192901.858437,125041113,50.0164452,125038607,125040279,50.0161116,0.3336,0.1253336,500.0,-192405.1727857107,-3716.6967946366303,-192870.99977509095,8.216597413104308,-30.85866190903471
D1:125351941:312500samples,D1,adaptive_75_500ms,125.0,50,855,125351941,125353613,50.1414452,-192901.858437,125041113,50.0164452,125038607,125040279,50.0161116,0.3336,0.1253336,500.0,-192405.1727857107,-3716.6967946366303,-192870.99977509095,8.216597413104308,-30.85866190903471
D1:125401941:312500samples,D1,fixed_125ms,125.0,50,870,125401941,125403613,50.1614452,-192931.621167,125091113,50.0364452,125088607,125090279,50.0361116,0.3336,0.1253336,125.0,-192473.21948216783,-3568.0769715907118,-192920.4194140944,30.30221324075602,-11.201752905617468
D1:125401941:312500samples,D1,fixed_500ms,125.0,50,870,125401941,125403613,50.1614452,-192931.621167,125091113,50.0364452,125088607,125090279,50.0361116,0.3336,0.1253336,500.0,-192480.84730029767,-3722.031484091011,-192947.34290551214,8.081954023707747,15.721738512133015
D1:125401941:312500samples,D1,adaptive_75_500ms,125.0,50,870,125401941,125403613,50.1614452,-192931.621167,125091113,50.0364452,125088607,125090279,50.0361116,0.3336,0.1253336,500.0,-192480.84730029767,-3722.031484091011,-192947.34290551214,8.081954023707747,15.721738512133015
D1:125451941:312500samples,D1,fixed_125ms,125.0,50,885,125451941,125453613,50.1814452,-193018.991533,125141113,50.0564452,125138607,125140279,50.0561116,0.3336,0.1253336,125.0,-192542.47618854043,-3576.0251094167456,-192990.67228919402,29.40867094679445,-28.31924380597775
D1:125451941:312500samples,D1,fixed_500ms,125.0,50,885,125451941,125453613,50.1814452,-193018.991533,125141113,50.0564452,125138607,125140279,50.0561116,0.3336,0.1253336,500.0,-192552.37491732236,-3714.194171871849,-193017.88824398207,7.957858465486265,-1.103289017919451
D1:125451941:312500samples,D1,adaptive_75_500ms,125.0,50,885,125451941,125453613,50.1814452,-193018.991533,125141113,50.0564452,125138607,125140279,50.0561116,0.3336,0.1253336,500.0,-192552.37491732236,-3714.194171871849,-193017.88824398207,7.957858465486265,-1.103289017919451
D1:125501941:312500samples,D1,fixed_125ms,125.0,50,900,125501941,125503613,50.2014452,-193090.296953,125191113,50.0764452,125188607,125190279,50.0761116,0.3336,0.1253336,125.0,-192626.96357898187,-3784.0057734872307,-193101.22664499382,29.03935175503427,10.929691993806046
D1:125501941:312500samples,D1,fixed_500ms,125.0,50,900,125501941,125503613,50.2014452,-193090.296953,125191113,50.0764452,125188607,125190279,50.0761116,0.3336,0.1253336,500.0,-192626.79041680813,-3714.111653148374,-193092.29340109916,7.812896255829623,1.9964480991475284
D1:125501941:312500samples,D1,adaptive_75_500ms,125.0,50,900,125501941,125503613,50.2014452,-193090.296953,125191113,50.0764452,125188607,125190279,50.0761116,0.3336,0.1253336,500.0,-192626.79041680813,-3714.111653148374,-193092.29340109916,7.812896255829623,1.9964480991475284
D1:125551941:312500samples,D1,fixed_125ms,125.0,50,915,125551941,125553613,50.2214452,-193149.839551,125241113,50.0964452,125238607,125240279,50.0961116,0.3336,0.1253336,125.0,-192701.21031588662,-3753.4876021957425,-193171.64842962517,28.18975209530568,21.808878625161014
D1:125551941:312500samples,D1,fixed_500ms,125.0,50,915,125551941,125553613,50.2214452,-193149.839551,125241113,50.0964452,125238607,125240279,50.0961116,0.3336,0.1253336,500.0,-192699.21856481352,-3702.8456791766125,-193163.30954402918,7.6729223222581435,13.469993029168108
D1:125551941:312500samples,D1,adaptive_75_500ms,125.0,50,915,125551941,125553613,50.2214452,-193149.839551,125241113,50.0964452,125238607,125240279,50.0961116,0.3336,0.1253336,500.0,-192699.21856481352,-3702.8456791766125,-193163.30954402918,7.6729223222581435,13.469993029168108
D1:125601941:312500samples,D1,fixed_125ms,125.0,50,930,125601941,125603613,50.2414452,-193254.910475,125291113,50.1164452,125288607,125290279,50.1161116,0.3336,0.1253336,125.0,-192776.03445046532,-3767.4427648178134,-193248.22161497388,27.72899746464565,-6.688860026129987
