visit_index,target_index,channel,edge,receiver_id,probe_start_sample,candidate_rank,integer_epoch_sample,fractional_epoch_offset_samples,acquired_absolute_baseband_cfo_hz,glrt_residual_cfo_hz,tracking_absolute_baseband_cfo_hz,pilot_nominal_baseband_hz,pilot_relative_raw_cfo_hz,pilot_relative_canonical_display_cfo_hz,pilot_alias_lift,fractional_exact_score,fractional_control_score,fractional_margin,passed_0p025_comparison_gate,integer_device_sample_counter
2167,5,2,upper,0,0,1,11787,-0.8735768948974838,-34482.185853788804,-72798.29545454727,-107280.48130833608,312500.0,-419780.4813083361,34764.97323711845,-2,0.04622251187260636,0.03689916504515293,0.009323346827453435,False,495081382461
2167,5,2,upper,0,0,3,12922,0.7058677779595315,507469.28704204585,101207.38636363889,608676.6734056848,312500.0,296176.67340568476,68903.9461329575,1,0.04233267904002466,0.0327058432739169,0.00962683576610776,False,495081383596
2167,5,2,upper,0,0,4,2617,-0.6373322005760182,413747.837866365,3107.244318181896,416855.08218454686,312500.0,104355.08218454686,104355.08218454686,0,0.03991311680291349,0.037262432466228894,0.0026506843366845972,False,495081373291
2167,5,2,upper,0,0,5,2617,-0.6373322005760182,413747.837866365,3107.244318181896,416855.08218454686,312500.0,104355.08218454686,104355.08218454686,0,0.03991311680291349,0.037262432466228894,0.0026506843366845972,False,495081373291
2167,5,2,upper,0,0,6,7199,0.8643454010086151,279560.5352304481,20419.0340909096,299979.5693213577,312500.0,-12520.430678642297,-12520.430678642297,0,0.03923125325319845,0.030995841983168994,0.008235411270029455,False,495081377873
2167,5,2,upper,1,0,1,2382,-1.3859817409757849,221009.13374094683,9765.625000000244,230774.75874094706,312500.0,-81725.24125905294,-81725.24125905294,0,0.042014665651787235,0.03614423748473462,0.005870428167052612,False,495081373056
2167,5,2,upper,1,0,2,4626,1.402992118275217,932702.7908522019,45720.88068181932,978423.6715340212,312500.0,665923.6715340212,-15894.510284160613,3,0.03779033698594094,0.044742893228269354,-0.006952556242328413,False,495081375300
2168,5,2,upper,0,0,2,12154,-1.2326257233280373,932642.278988083,84783.3806818203,1017425.6596699033,312500.0,704925.6596699033,23107.477851721575,3,0.03574386088866285,0.03449761118275446,0.0012462497059083852,False,495082583056
2168,5,2,upper,0,0,4,9535,-0.941310109432954,339017.9025558065,3107.244318181896,342125.1468739884,312500.0,29625.146873988386,29625.146873988386,0,0.03789950152231038,0.03846098257082755,-0.000561481048517172,False,495082580437
2168,5,2,upper,0,0,5,8362,-0.4457930608933002,1048413.0145085932,-30628.5511363644,1017784.4633722289,312500.0,705284.4633722289,23466.281554047135,3,0.03975502878326877,0.04165999775859301,-0.001904968975324245,False,495082579264
