absolute_rate_outlier_count,absolute_rate_outlier_fraction,applied_phase_slip_count,byte_size,frame_count,internal_status,maximum_absolute_rate_hz_s,median_track_rate_sigma_hz_s,median_track_slip_fraction,path,phase_slip_count,phase_slip_fraction,registry_status,session_id,track_count
8549,0.6216098305824184,8855,12677149,13753,complete,11948162.3786312,0.16773291425601056,0.5889230769230769,stream-0 · RX0,8855,0.6438595215589326,partial_coverage,cap-20260823T100905-29d563ac02d9,9
7203,0.5698575949367088,8245,11651438,12640,complete,12434206.622865964,0.16507728216093617,0.6134232032149771,stream-1 · RX0,8245,0.6522943037974683,complete,cap-20260823T100905-29d563ac02d9,8
4528,0.8372781065088757,3309,4979359,5408,complete,23280144.00766185,0.17855318725157784,0.6064189189189189,stream-1 · RX0,3309,0.6118713017751479,complete,cap-20260823T101200-1b98ddd3d643,8
4575,0.5410999408633944,5394,7789283,8455,complete,7997264.382529601,0.15864723982985093,0.6703570666239761,stream-0 · RX0,5394,0.6379657007687759,complete,cap-20260823T101200-1b98ddd3d643,4
9982,0.6165153480328578,10388,14961173,16191,complete,142110279.57956982,0.16900192171579448,0.6325856285310735,stream-1 · RX1,10388,0.6415910073497623,complete,cap-20260823T101200-1b98ddd3d643,12
10159,0.4346468147007231,15515,21581998,23373,complete,12177089.915988239,0.1519266434361693,0.6724137931034483,stream-0 · RX1,15515,0.6638001112394644,complete,cap-20260823T101200-1b98ddd3d643,9
16693,0.45370043214741934,24226,33999302,36793,complete,15683943.36765995,0.13885728148088428,0.7054066540782034,stream-0 · RX1,24226,0.6584404642187373,partial_coverage,cap-20260823T101809-80205045e4c6,14
11525,0.46870551872788646,16671,22674691,24589,complete,8144051.048485739,0.14346794949979488,0.7108934401899674,stream-0 · RX0,16671,0.6779860913416569,partial_coverage,cap-20260823T101809-80205045e4c6,13
2578,0.654979674796748,2493,3630888,3936,complete,11932493.959756842,0.17531793462542966,0.6171662125340599,stream-1 · RX0,2493,0.6333841463414634,complete,cap-20260823T101809-80205045e4c6,3
17448,0.4753964361615171,24642,33928301,36702,complete,9999400.156518552,0.14869853896765417,0.6542469517057399,stream-1 · RX1,24642,0.6714075527219225,partial_coverage,cap-20260823T101809-80205045e4c6,16
9598,0.3882686084142395,17225,22777365,24720,complete,7832716.706325988,0.13305707058965932,0.7236078860172865,stream-0 · RX0,17225,0.6968042071197411,partial_coverage,cap-20260823T102100-41a973bd84ae,12
17684,0.42662420689488795,28013,38295800,41451,complete,12422840.69564428,0.1460162649845326,0.6802621995630007,stream-0 · RX1,28013,0.6758099925212901,partial_coverage,cap-20260823T102100-41a973bd84ae,15
18977,0.4869393410653803,25845,36031511,38972,complete,13599528.158249376,0.15040044958568605,0.647741185933241,stream-1 · RX1,25845,0.6631684286154162,partial_coverage,cap-20260823T102100-41a973bd84ae,14
14157,0.6197250919278585,14925,21056689,22844,complete,15289903.77643773,0.1662689007895568,0.6059243550641759,stream-1 · RX0,14925,0.6533444230432499,partial_coverage,cap-20260823T102100-41a973bd84ae,14
0,,0,1594,0,no_result,,,,stream-0 · RX1,0,,no_result,cap-20260823T102721-5eb863f3e015,0
228,0.9827586206896551,130,214546,232,complete,28807613.740217377,0.21425622266761793,0.5603448275862069,stream-1 · RX0,130,0.5603448275862069,complete,cap-20260823T102721-5eb863f3e015,2
0,,0,1594,0,no_result,,,,stream-0 · RX0,0,,no_result,cap-20260823T102721-5eb863f3e015,0
11673,0.6832309043020193,10945,15776774,17085,partial,12716598.374657381,0.15727639668645246,0.6581740976645435,stream-1 · RX1,10945,0.6406204272753878,complete,cap-20260823T102721-5eb863f3e015,11
16138,0.42012912631469335,26288,35470813,38412,complete,12099484.982480593,0.1589251829966951,0.6313970366508737,stream-1 · RX1,26288,0.6843694678746225,partial_coverage,cap-20260823T103006-b22ba294d7f7,16
3456,0.8052190121155638,2644,3955440,4292,complete,17117963.92999815,0.1705149797194827,0.6319095477386935,stream-0 · RX0,2644,0.6160298229263746,complete,cap-20260823T103006-b22ba294d7f7,5
5662,0.48314702619677447,7862,10800534,11719,partial,6956567.220167543,0.15438199100151945,0.6920122616678437,stream-1 · RX0,7862,0.6708763546377677,complete,cap-20260823T103006-b22ba294d7f7,8
13538,0.6161758681898867,13955,20287095,21971,partial,16817584.62977654,0.16544746043023456,0.6339622641509434,stream-0 · RX1,13955,0.6351554321605754,partial_coverage,cap-20260823T103006-b22ba294d7f7,13
13559,0.39185596208311657,24215,31958861,34602,complete,7093196.889542104,0.13275539832000777,0.7414486921529175,stream-0 · RX1,24215,0.6998150395930871,partial_coverage,cap-20260823T103300-f5e88b1f6dff,15
8820,0.3709935223353243,17054,21917379,23774,complete,262867844.015043,0.13063595992686763,0.748558246828143,stream-0 · RX0,17054,0.7173382686968958,partial_coverage,cap-20260823T103300-f5e88b1f6dff,11
15287,0.4687250873857852,22049,30072266,32614,complete,14694095.812915422,0.16258022793068602,0.6205013239187996,stream-1 · RX0,22049,0.6760593610106089,complete,cap-20260823T103300-f5e88b1f6dff,14
15219,0.46001088139281826,22757,30591225,33084,partial,14021942.5734077,0.14901303292993917,0.6639359922553775,stream-1 · RX1,22757,0.6878551565711523,partial_coverage,cap-20260823T103300-f5e88b1f6dff,14
9853,0.5272367294520548,12487,17277384,18688,complete,14230472.582738511,0.16731560386956362,0.6323396567299007,stream-0 · RX1,12487,0.6681827910958904,complete,cap-20260823T103600-a42d17d4fcb0,13
4858,0.4170673076923077,7710,10732596,11648,complete,5575700.969251976,0.15232036682974132,0.6500256508913684,stream-1 · RX0,7710,0.6619162087912088,complete,cap-20260823T103600-a42d17d4fcb0,4
21515,0.6341930729550479,21537,31368969,33925,partial,154234513.2090852,0.16554791734098384,0.626923724096869,stream-1 · RX1,21537,0.6348415622697126,partial_coverage,cap-20260823T103600-a42d17d4fcb0,16
6181,0.7643130950908866,5123,7448285,8087,complete,84175318.5121007,0.17117899139962528,0.5834230355220668,stream-0 · RX0,5123,0.6334858414739706,complete,cap-20260823T103600-a42d17d4fcb0,7
7964,0.7987963891675025,6049,9191989,9970,complete,327978709.2122294,0.17392328102584914,0.575460390105699,stream-1 · RX0,6049,0.6067201604814443,complete,cap-20260823T103900-f15ba31ea9b2,10
10346,0.49893904320987653,13748,19165551,20736,complete,33431199.586180713,0.16349873078601668,0.599343997124371,stream-0 · RX1,13748,0.6630015432098766,partial_coverage,cap-20260823T103900-f15ba31ea9b2,14
9135,0.5297494780793319,11340,15888264,17244,complete,11084975.604418904,0.1610189075607724,0.635864697509152,stream-0 · RX0,11340,0.6576200417536534,complete,cap-20260823T103900-f15ba31ea9b2,10
16935,0.4805754987371946,23611,32559030,35239,complete,17804103.174323995,0.1501771262126551,0.6425798187560274,stream-1 · RX1,23611,0.6700246885552938,partial_coverage,cap-20260823T103900-f15ba31ea9b2,16
0,,0,1594,0,no_result,,,,stream-0 · RX1,0,,no_result,cap-20260823T104200-597c155f2bcf,0
2864,0.47480106100795755,3955,5574047,6032,partial,8750358.486546487,0.1348645855920929,0.7165441176470588,stream-1 · RX1,3955,0.6556697612732095,complete,cap-20260823T104200-597c155f2bcf,3
4547,0.5827992822353243,5126,7182546,7802,complete,21943932.343831707,0.14799833618595437,0.6578798451950815,stream-0 · RX0,5126,0.657011022814663,complete,cap-20260823T104200-597c155f2bcf,4
