session_id,visit_index,target_index,band,state,reason,time_s,frame_phase_s,timing_rate_s_per_s,timing_sigma_s,cfo_hz,cfo_rate_hz_per_s,cfo_sigma_hz,accepted_observations
scan-hop-002263e74ae412da,979,4,derived2p5,lost,no observation inside prediction gate,123.3880146,,,,,,,0
scan-hop-002263e74ae412da,980,5,native10,tracking,accepted PSS observation,123.5141813,0.0005085948132941291,1.503497585755509e-06,7.453796954146789e-07,-200000.0,0.0,101236.59860484517,4
scan-hop-002263e74ae412da,980,5,derived2p5,coasting,no observation inside prediction gate,123.5141814,0.0005061039651020763,0.0,2.0221370964569574e-05,0.0,0.0,201022.97506016828,1
scan-hop-002263e74ae412da,981,2,native10,tracking,accepted PSS observation,123.6402962,0.0004839200291015038,1.1751894660313223e-06,1.0732900339548042e-06,200000.0,0.0,116631.30772600707,3
scan-hop-002263e74ae412da,981,2,derived2p5,lost,ambiguous timing modes,123.6402962,,,,,,,0
scan-hop-002263e74ae412da,982,6,native10,tracking,accepted PSS observation,123.7673704,0.00048408433619944,1.2205900811619293e-06,8.881976985861369e-07,-200000.0,0.0,101092.77156537877,4
scan-hop-002263e74ae412da,982,6,derived2p5,acquiring,accepted PSS observation,123.7673704,0.0002002141769313167,0.0,1.2099405138831235e-06,-800000.0,0.0,200000.0,1
scan-hop-002263e74ae412da,983,1,native10,tracking,accepted PSS observation,123.8935537,0.0005092103345030977,1.4298759586258143e-06,7.658776407852093e-07,149554.27696153114,-282.2275999097634,101237.31715722584,4
scan-hop-002263e74ae412da,983,1,derived2p5,acquiring,accepted PSS observation,123.8935538,0.0005378813505553499,0.0,1.1176775724087324e-06,600000.0,0.0,200000.0,1
scan-hop-002263e74ae412da,984,0,native10,lost,no observation inside prediction gate,124.0186897,,,,,,,0
scan-hop-002263e74ae412da,984,0,derived2p5,lost,no observation inside prediction gate,124.0186898,,,,,,,0
scan-hop-002263e74ae412da,985,3,native10,tracking,accepted PSS observation,124.1442287,0.0004996927003111395,2.1913906021453825e-06,7.036511139439821e-07,160004.10813720702,3.74928008078507,91676.02886032643,5
scan-hop-002263e74ae412da,985,3,derived2p5,lost,ambiguous timing modes,124.1442286,,,,,,,0
scan-hop-002263e74ae412da,986,7,native10,tracking,accepted PSS observation,124.2703045,0.0004999365901598831,2.1413530315538028e-06,6.449253376694068e-07,-200000.0,0.0,91622.15976605604,5
scan-hop-002263e74ae412da,986,7,derived2p5,lost,ambiguous timing modes,124.2703046,,,,,,,0
scan-hop-002263e74ae412da,987,4,native10,acquiring,accepted PSS observation,124.3965299,0.0004287420882907567,2.0166310093203064e-06,1.1575361662903399e-06,-200000.0,0.0,141511.41494172267,2
scan-hop-002263e74ae412da,987,4,derived2p5,lost,no observation inside prediction gate,124.3965298,,,,,,,0
scan-hop-002263e74ae412da,988,5,native10,tracking,accepted PSS observation,124.5227519,0.0005093957745849842,1.2673677582440502e-06,6.57160606530932e-07,-200000.0,0.0,91786.24635030227,5
scan-hop-002263e74ae412da,988,5,derived2p5,acquiring,accepted PSS observation,124.5227518,0.0005088891231400773,0.0,1.114134221720046e-06,-200000.0,0.0,200000.0,1
scan-hop-002263e74ae412da,989,2,native10,tracking,accepted PSS observation,124.6476644,0.0004849710942872327,1.1336392668212035e-06,8.761000073839831e-07,200000.0,0.0,101939.4676802796,4
scan-hop-002263e74ae412da,989,2,derived2p5,lost,no observation inside prediction gate,124.6476644,,,,,,,0
scan-hop-002263e74ae412da,990,6,native10,tracking,accepted PSS observation,124.7728493,0.00048485744097220384,1.0681049393023622e-06,7.66333993905259e-07,-200000.0,0.0,91616.05260281092,5
scan-hop-002263e74ae412da,990,6,derived2p5,coasting,no observation inside prediction gate,124.7728494,0.0002002141769313167,0.0,1.012749457740218e-05,-800000.0,0.0,200253.43353948192,1
scan-hop-002263e74ae412da,991,1,native10,tracking,accepted PSS observation,124.899596,0.0005101292162884782,1.2588555130489867e-06,6.780747733387452e-07,117833.8507105717,-1052.5690191504818,91782.5831921255,5
scan-hop-002263e74ae412da,991,1,derived2p5,coasting,no observation inside prediction gate,124.899596,0.0005378813505553499,0.0,1.0122484284754367e-05,600000.0,0.0,200253.71782549538,1
scan-hop-002263e74ae412da,992,0,native10,acquiring,accepted PSS observation,125.0257927,0.0003565423246287067,0.0,9.52355937388321e-07,200000.0,0.0,200000.0,1
scan-hop-002263e74ae412da,992,0,derived2p5,lost,no observation inside prediction gate,125.0257926,,,,,,,0
scan-hop-002263e74ae412da,993,3,native10,tracking,accepted PSS observation,125.1521203,0.0005016946681768045,2.131989193631178e-06,7.068311987856197e-07,130847.26336122958,-992.0719169717887,85380.3055120262,6
scan-hop-002263e74ae412da,993,3,derived2p5,lost,no observation inside prediction gate,125.1521202,,,,,,,0
scan-hop-002263e74ae412da,994,7,native10,tracking,accepted PSS observation,125.2770386,0.0005015840070611761,1.9875696390260364e-06,6.21553630229103e-07,-200000.0,0.0,85319.42360786529,6
scan-hop-002263e74ae412da,994,7,derived2p5,acquiring,accepted PSS observation,125.2770386,0.0005010091801149303,0.0,1.1217926791170043e-06,-200000.0,0.0,200000.0,1
scan-hop-002263e74ae412da,995,4,native10,tracking,accepted PSS observation,125.4025852,0.00043085699158990944,2.0657858708584674e-06,1.0400703811427496e-06,-200000.0,0.0,115909.7216796345,3
scan-hop-002263e74ae412da,995,4,derived2p5,lost,no observation inside prediction gate,125.4025852,,,,,,,0
scan-hop-002263e74ae412da,996,5,native10,tracking,accepted PSS observation,125.5287368,0.0005093071228934521,8.740371423223086e-07,6.298681787169662e-07,-200000.0,0.0,85493.56990453061,6
scan-hop-002263e74ae412da,996,5,derived2p5,acquiring,accepted PSS observation,125.5287368,0.0005079818870775067,-8.909262196410827e-07,1.1941425150585652e-06,-200000.0,0.0,141510.9635506532,2
scan-hop-002263e74ae412da,997,2,native10,coasting,no observation inside prediction gate,125.6548784,0.0004861129116277248,1.1336392668212035e-06,1.179286276858574e-06,200000.0,0.0,104376.76931667379,4
scan-hop-002263e74ae412da,997,2,derived2p5,lost,no observation inside prediction gate,125.6548784,,,,,,,0
scan-hop-002263e74ae412da,998,6,native10,tracking,accepted PSS observation,125.7813556,0.00048545051855913504,9.29916386573172e-07,7.514285799975347e-07,-200000.0,0.0,85317.02930319776,6
scan-hop-002263e74ae412da,998,6,derived2p5,coasting,no observation inside prediction gate,125.7813556,0.0002002141769313167,0.0,2.0176838816438463e-05,-800000.0,0.0,201018.2495151422,1
scan-hop-002263e74ae412da,999,1,native10,tracking,accepted PSS observation,125.9062616,0.0005097381548670934,7.84791790934035e-07,6.86004787555207e-07,95437.37015702105,-1789.935617598379,85491.32312434267,6
scan-hop-002263e74ae412da,999,1,derived2p5,coasting,no observation inside prediction gate,125.9062616,0.0005378813505553499,0.0,2.0158761127341508e-05,600000.0,0.0,201016.9572208901,1
scan-hop-002263e74ae412da,1000,0,native10,coasting,no observation inside prediction gate,126.0318014,0.0003565423246287067,0.0,1.0105232607968554e-05,200000.0,0.0,200253.7009112633,1
scan-hop-002263e74ae412da,1000,0,derived2p5,lost,no observation inside prediction gate,126.0318014,,,,,,,0
scan-hop-db129c9469a5a8b2,953,4,native10,acquiring,no observation inside prediction gate,120.1669538,,,,,,,0
scan-hop-db129c9469a5a8b2,953,4,derived2p5,acquiring,no observation inside prediction gate,120.1669538,,,,,,,0
scan-hop-db129c9469a5a8b2,954,5,native10,acquiring,no observation inside prediction gate,120.2920804,,,,,,,0
scan-hop-db129c9469a5a8b2,954,5,derived2p5,acquiring,no observation inside prediction gate,120.2920804,,,,,,,0
scan-hop-db129c9469a5a8b2,955,1,native10,acquiring,no observation inside prediction gate,120.4182019,,,,,,,0
scan-hop-db129c9469a5a8b2,955,1,derived2p5,acquiring,no observation inside prediction gate,120.4182018,,,,,,,0
scan-hop-db129c9469a5a8b2,956,2,native10,acquiring,no observation inside prediction gate,120.5444155,,,,,,,0
scan-hop-db129c9469a5a8b2,956,2,derived2p5,acquiring,no observation inside prediction gate,120.5444154,,,,,,,0
scan-hop-db129c9469a5a8b2,957,3,native10,acquiring,no observation inside prediction gate,120.6706001,,,,,,,0
scan-hop-db129c9469a5a8b2,957,3,derived2p5,acquiring,no observation inside prediction gate,120.6706002,,,,,,,0
scan-hop-db129c9469a5a8b2,958,6,native10,acquiring,no observation inside prediction gate,120.7954522,,,,,,,0
scan-hop-db129c9469a5a8b2,958,6,derived2p5,acquiring,no observation inside prediction gate,120.7954522,,,,,,,0
scan-hop-db129c9469a5a8b2,959,0,native10,acquiring,no observation inside prediction gate,120.9214826,,,,,,,0
scan-hop-db129c9469a5a8b2,959,0,derived2p5,acquiring,no observation inside prediction gate,120.9214826,,,,,,,0
scan-hop-db129c9469a5a8b2,960,4,native10,acquiring,no observation inside prediction gate,121.0477861,,,,,,,0
scan-hop-db129c9469a5a8b2,960,4,derived2p5,acquiring,no observation inside prediction gate,121.0477862,,,,,,,0
scan-hop-db129c9469a5a8b2,961,1,native10,acquiring,no observation inside prediction gate,121.1741621,,,,,,,0
scan-hop-db129c9469a5a8b2,961,1,derived2p5,acquiring,no observation inside prediction gate,121.1741622,,,,,,,0
scan-hop-db129c9469a5a8b2,962,2,native10,acquiring,no observation inside prediction gate,121.3004872,,,,,,,0
scan-hop-db129c9469a5a8b2,962,2,derived2p5,acquiring,no observation inside prediction gate,121.3004872,,,,,,,0
scan-hop-db129c9469a5a8b2,963,6,native10,acquiring,no observation inside prediction gate,121.425397,,,,,,,0
scan-hop-db129c9469a5a8b2,963,6,derived2p5,acquiring,no observation inside prediction gate,121.425397,,,,,,,0
