session_id,capture_start_utc,channel,edge,receiver_id,observation_count,support_span_s,normalized_rate_hz_per_s,linear_fit_residual_rms_hz
scan-fw-732c90485eefd8ff,2026-09-17T15:40:01.557688Z,2,lower,0,18,9.136295667,-4008.489041050124,22.650868050122053
scan-fw-732c90485eefd8ff,2026-09-17T15:40:01.557688Z,2,upper,0,23,12.789503067,-3586.793483100914,181.10968134045703
scan-fw-732c90485eefd8ff,2026-09-17T15:40:01.557688Z,4,upper,0,15,12.085671,-3629.657121711747,121.08031534402762
scan-fw-732c90485eefd8ff,2026-09-17T15:40:01.557688Z,2,lower,0,13,9.7003224,-3605.878742778576,83.73311713468262
scan-fw-732c90485eefd8ff,2026-09-17T15:40:01.557688Z,2,upper,0,22,13.770814066,-3710.2860637087415,129.79163169848863
scan-fw-3b7ab0ade03b6679,2026-09-17T16:00:01.643455Z,2,lower,0,16,8.4363367,-3555.061507530705,86.19347550147884
scan-fw-3b7ab0ade03b6679,2026-09-17T16:00:01.643455Z,1,upper,0,36,20.3643223,-4336.551234960333,180.59744868544897
scan-fw-3b7ab0ade03b6679,2026-09-17T16:00:01.643455Z,3,lower,0,15,10.2589919,-3912.7845126027305,124.97673220215101
scan-fw-3b7ab0ade03b6679,2026-09-17T16:00:01.643455Z,3,lower,0,18,10.5403854,-2967.1213330047503,168.17789845839957
scan-fw-3b7ab0ade03b6679,2026-09-17T16:00:01.643455Z,3,upper,0,20,13.6284076,-3058.283402439408,304.68916435219194
scan-fw-3b7ab0ade03b6679,2026-09-17T16:00:01.643455Z,4,lower,0,12,8.1549757,-3639.8678192575294,18.807440075463163
scan-fw-3b7ab0ade03b6679,2026-09-17T16:00:01.643455Z,3,lower,0,9,8.5762907,-3635.141252302714,18.86477826364948
scan-fw-3b7ab0ade03b6679,2026-09-17T16:00:01.643455Z,1,upper,0,17,9.8414733,-4318.85882468884,105.09858864542322
scan-fw-7b78a2ba16003bdc,2026-09-17T16:10:01.242534Z,3,lower,0,20,15.034945867,-3700.601058018591,115.41105203250481
scan-fw-7b78a2ba16003bdc,2026-09-17T16:10:01.242534Z,2,lower,0,17,11.245665266,-3621.3042959858094,64.6232042507078
scan-fw-7b78a2ba16003bdc,2026-09-17T16:10:01.242534Z,2,upper,0,23,15.031800933,-4223.485564296054,212.42447362099892
scan-fw-7b78a2ba16003bdc,2026-09-17T16:10:01.242534Z,4,lower,0,12,13.348909267,-3738.032762541573,68.7573829365198
scan-fw-7b78a2ba16003bdc,2026-09-17T16:10:01.242534Z,3,lower,0,29,13.489630133,-4244.128823086475,33.002650396572484
scan-fw-0cac677f1231cad8,2026-09-17T16:20:01.484591Z,4,lower,0,16,9.70839635,-2826.58503104355,167.18508482983648
scan-fw-0cac677f1231cad8,2026-09-17T16:20:01.484591Z,4,lower,0,23,11.9482897,-3711.483850794864,65.83301290108301
scan-fw-0cac677f1231cad8,2026-09-17T16:20:01.484591Z,3,upper,0,18,14.0550069,-4306.056787163064,172.3080014063899
scan-fw-0cac677f1231cad8,2026-09-17T16:20:01.484591Z,2,upper,0,24,15.1760513,-3683.1135635120213,118.37839296687413
scan-fw-0cac677f1231cad8,2026-09-17T16:20:01.484591Z,1,lower,0,13,8.43877985,-3659.78636791415,45.59426860708774
scan-fw-0cac677f1231cad8,2026-09-17T16:20:01.484591Z,4,lower,0,10,8.5842589,-3715.628652617908,77.13573371200802
scan-fw-0cac677f1231cad8,2026-09-17T16:20:01.484591Z,3,upper,0,24,16.30164125,-3907.875847085999,38.70841597329057
scan-fw-0cac677f1231cad8,2026-09-17T16:20:01.484591Z,2,upper,0,12,9.42569095,-3413.0733536390117,120.20922570948686
scan-fw-0cac677f1231cad8,2026-09-17T16:20:01.484591Z,4,lower,0,14,9.2802375,-3619.42190519838,139.43818603970823
scan-fw-b668568d6721d389,2026-09-17T16:30:01.310689Z,3,lower,0,25,16.017658,-3647.5642965666243,94.39802508399492
scan-fw-b668568d6721d389,2026-09-17T16:30:01.310689Z,1,lower,0,17,14.8936033,-4307.905158983702,94.59140215221967
scan-fw-b668568d6721d389,2026-09-17T16:30:01.310689Z,1,upper,0,20,8.5789488,-4333.641665758177,22.380738987927423
scan-fw-b668568d6721d389,2026-09-17T16:30:01.310689Z,2,lower,0,9,8.8563283,-3896.1584980286425,77.33818956734302
scan-fw-b668568d6721d389,2026-09-17T16:30:01.310689Z,2,lower,0,14,11.3816605,-4134.848307889541,155.02765974011868
scan-fw-84ee89a6734ea002,2026-09-17T16:50:01.571701Z,1,lower,0,20,16.16298685,-3710.434380801194,105.07184948823404
scan-fw-84ee89a6734ea002,2026-09-17T16:50:01.571701Z,1,upper,0,18,11.39087555,-3712.585749382096,66.20173328237014
scan-fw-84ee89a6734ea002,2026-09-17T16:50:01.571701Z,4,lower,0,22,10.8270041,-4213.40155277767,121.89279962702591
scan-fw-84ee89a6734ea002,2026-09-17T16:50:01.571701Z,1,upper,0,9,10.40701265,-3882.155479482361,139.76367136633303
