actual_rf_hz,channel,edge,normalized_rate_hz_per_s,observation_count,radio_id,receiver_id,residual_rms_hz,sample_rate_hz,session_id,span_seconds,tracklet_id
10940312500.0,1,upper,-3685.2622390295755,57,radio_pluto_5d4d,0,650.6051665321056,2500000,scan-fw-b6659f13921e711b,45.9429932,sha256:3b1fff823c385257991ec88e4f357f75c9a4465c7f660d96e1412c3e9136c91e
11190312500.0,2,upper,-3736.3349110752847,18,radio_pluto_5d4d,0,233.5643855829587,2500000,scan-fw-b6659f13921e711b,19.7003436,sha256:a3230c63179d2fc3dd955d9eeb75bb4075a5fb5bd36e3a14bb2c8ccbeed884f4
11190312500.0,2,upper,-3717.3797758339597,18,radio_pluto_5d4d,1,198.00838866971307,2500000,scan-fw-b6659f13921e711b,18.479018,sha256:c8524d1d9e48ed2cda9b317aca79cabf871d30221a1cb1fdbd71a95387131c32
11190312500.0,2,upper,-3720.4964224511605,18,radio_pluto_5d4d,0,79.17752498029323,2500000,scan-fw-b6659f13921e711b,18.1789384,sha256:634ddc9f3cced30c2447574d90c160bda558960ecc23f8f308f7c6cf1ddd78a1
10940312500.0,1,upper,-3631.777328157256,8,radio_pluto_5d4d,0,42.39214950355558,2500000,scan-fw-b6659f13921e711b,6.4762676,sha256:9bf588baffd3d1e344d74616d0b0f38ec687b651c57084fb59921a6b652e27a4
10940312500.0,1,upper,-3136.310103151042,9,radio_pluto_5d4d,0,65.9178063910186,2500000,scan-fw-b6659f13921e711b,5.06964,sha256:b903927e72f38fa22500472b6c9d2f07510785290bf9e9c8e9bf50fdf68891b5
10940312500.0,1,upper,-3887.4096128237356,73,radio_pluto_5d4d,0,1061.8858114978848,2500000,scan-fw-b6659f13921e711b,45.8614276,sha256:c635178fc00dc09394a7adb0e680234d26b4ba41a1476b824c821f12a2a0be90
10940312500.0,1,upper,-3939.2055782416437,56,radio_pluto_5d4d,1,469.97246583460486,2500000,scan-fw-b6659f13921e711b,39.6683144,sha256:6f0fd48a75cb558dd5f7b4606fdd4218fd6ee2966f42cbf17d1464d62dd5db6c
11190312500.0,2,upper,-3804.7293338510663,9,radio_pluto_5d4d,1,311.7851040698739,2500000,scan-fw-b6659f13921e711b,11.7059524,sha256:54ab65ca3bcd39b63b4f6e7817451c7034ee6313ce0d29541d54e276466d5481
11190312500.0,2,upper,-3958.6091414779016,19,radio_pluto_5d4d,0,406.43112229452345,2500000,scan-fw-b6659f13921e711b,23.6925928,sha256:628779817ae83ce7513fc4ec5f87ec48697e8c47b827ef2c7fffd959eb68c517
11440312496.0,3,upper,-3527.8808856947717,31,radio_pluto_5d4d,1,269.2033826329715,2500000,scan-fw-b6659f13921e711b,16.8350364,sha256:9d0faaa2ef8b5a39c888411d4d822a5218999966a5cb1fab2027be2f7a51205b
11440312496.0,3,upper,-3540.183620998142,18,radio_pluto_5d4d,0,404.03099613447966,2500000,scan-fw-b6659f13921e711b,15.0496908,sha256:8fca12126b5e646365cc9d03e116a1cbd3869d9b2cd40e91d31a220a3f5e3cbf
10940312500.0,1,upper,-3532.0550806815077,8,radio_pluto_5d4d,0,218.79270763289162,2500000,scan-fw-b6659f13921e711b,11.8030076,sha256:4d60d120cee0772a097f3710eeb6802e1766c29f24706d94e08c2333fba6d89d
11690312500.0,4,upper,-3805.2827311991355,20,radio_pluto_5d4d,1,111.3330712390524,2500000,scan-fw-b6659f13921e711b,14.306842,sha256:810279432f3d2194b317e7bd4def84de0503be69627d0123ab1fbc4464d5d5f4
11190312500.0,2,upper,-3774.1702843695375,28,radio_pluto_5d4d,1,140.62510463173726,2500000,scan-fw-b6659f13921e711b,17.3539796,sha256:8f719c016e1c273c03653e1ffa644cd48d78f44100270de190769844aa95af53
11690312500.0,4,upper,-3996.2869221351957,15,radio_pluto_5d4d,1,186.51249152709175,2500000,scan-fw-b6659f13921e711b,11.8642368,sha256:7ba85b4bb3957fff7bee3b43e5408537d343806ebee7c5290d46fa0655670873
11690312500.0,4,upper,-3938.2717318831715,8,radio_pluto_5d4d,1,130.46258977339983,2500000,scan-fw-af33f52c96a606b7,4.2106664,sha256:06af8916c97977316a0ef96a56d219b5d6fdb1a421d3f7e69b5d2d75d3032cf8
11190312500.0,2,upper,-3942.782079552242,10,radio_pluto_5d4d,0,258.13536576703916,2500000,scan-fw-af33f52c96a606b7,17.7629412,sha256:3a09037cbb6fa5fe06ea61b6582d61507f73aa39d9e844dca7713d022fabafa7
11690312500.0,4,upper,-3755.9964424609293,61,radio_pluto_5d4d,0,509.43362236758963,2500000,scan-fw-af33f52c96a606b7,43.6042116,sha256:488a3caab76c261c35161209b2d6dc840126f1582669af431827be4a2f533283
