case_id,source,comparison_scope,model,prior,scale_s,scan_count,reference_error_km,held_capped_rms_hz,held_uncapped_rms_hz,tau_s,tau_boundary_count,stopping_rule_satisfied,status
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,0.2,1,1.9424783177404528,160.97015388326747,160.97015388326747,,0,True,completed
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,1.0,1,2.339718484083561,158.95892373791045,158.95892373791045,,0,True,completed
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,5.0,1,4.6616864048518,159.17843970679826,159.17843970679826,,0,True,completed
validation_20260922_08_6,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_baseline_epoch_fixed_id,sacramento,0.0,6,5.699143073147623,345.1101173067504,386.40353054682475,,0,True,completed
validation_20260922_08_6,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,0.2,6,3.1020681947478455,343.3663094248501,380.0691732652257,,0,True,completed
validation_20260922_08_6,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,1.0,6,1.8485406779802407,343.4895615237271,374.2131847522468,,0,True,completed
validation_20260922_08_6,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,5.0,6,2.165078702922594,343.67680631079924,373.8185510499631,,0,True,completed
validation_20260922_08_6,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,0.2,6,5.046760117227351,336.9054675945751,374.5435790033034,,0,True,completed
validation_20260922_08_6,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,1.0,6,1.2566107741388999,331.42829343798394,360.5286145520358,,0,True,completed
validation_20260922_08_6,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,5.0,6,2.529013947742018,329.98485100252213,357.7220990363115,,0,True,completed
