sample_index,time_s,raw_phase_deg,compensated_common_band_phase_deg,raw_rx0_abs,raw_rx1_abs,common_rx0_abs,common_rx1_abs
73579,0.0294316,102.604751587,-175.960966797,150.426055908,22.8473205566,131.651876074,34.3752110633
73580,0.029432,27.410533905,159.183916701,58.0517044067,54.8178787231,90.8108067412,18.2291034264
73581,0.0294324,-157.768051147,82.45433803,100.895988464,95.0368347168,42.8431035591,58.1762038393
73582,0.0294328,-164.398925781,-61.5701330229,93.3809356689,140.003570557,1.60003881206,111.057821643
73583,0.0294332,117.988304138,77.3946621108,65.2763366699,46.6154441833,13.4765556441,29.2340693787
73584,0.0294336,165.342880249,-82.1217536641,145.413208008,96.5090637207,143.463927144,158.972579899
73585,0.029434,32.9868812561,-67.7506692249,112.294258118,201.853897095,103.295618732,141.768643617
73586,0.0294344,163.6381073,124.767243092,98.0815963745,128.701202393,87.5436438813,99.8005000757
73587,0.0294348,49.5286331177,123.215542382,41.6173057556,101.138519287,59.2964013813,157.441114018
73588,0.0294352,-140.42237854,28.3206225262,107.563934326,177.115783691,78.2075235004,101.606261553
73589,0.0294356,101.465499878,47.0130201464,66.6108093262,45.5411872864,76.6870164761,52.2868814452
73590,0.029436,-112.431152344,-92.2210512607,98.4936599731,24.1867733002,127.199519995,17.2528921835
73591,0.0294364,-173.543441772,-7.25976713327,140.014282227,47.3814315796,146.535276132,77.6804756133
73592,0.0294368,-136.768661499,32.5036966791,95.0789108276,100.239715576,75.1508843377,19.3866339876
73593,0.0294372,71.6317901611,34.1454367862,124.779808044,130.541183472,91.5548553682,80.4708041216
73594,0.0294376,-46.4306297302,11.9264864564,64.0078125,75.6637268066,44.5708130959,46.26556824
73595,0.029438,-51.7285118103,116.074931336,50.6951675415,115,69.2674125546,104.75307553
73596,0.0294384,-65.6855697632,151.476445533,92.0217285156,174.24407959,86.3864362336,104.02040314
73597,0.0294388,50.8975448608,17.800376658,144.810211182,201.022384644,141.750783312,125.424557918
73598,0.0294392,8.73501300812,63.9703166347,165.423690796,111.018013,162.531617839,165.298892923
73599,0.0294396,140.576858521,-51.0384687924,90.1387863159,93.637588501,91.2659431834,61.4549418496
73600,0.02944,-141.190628052,158.174475974,125.706008911,38.078868866,138.661121847,53.8965203881
73601,0.0294404,82.5082321167,87.985739552,35.1283378601,135.148071289,44.5071854041,123.193588804
73602,0.0294408,-158.198577881,-80.9624385678,80.7774658203,40,108.611258293,67.7569013011
73603,0.0294412,-21.4813232422,176.180783458,41.6173057556,46.3249359131,65.9217422774,63.2348023526
73604,0.0294416,151.79460144,73.6738898537,238.0756073,130.587142944,200.830776562,133.984991671
73605,0.029442,98.6580352783,100.593590309,67.4166107178,149.576080322,59.6890625682,172.176700604
73606,0.0294424,-120.496139526,-4.90839645323,80.0062561035,98.4936523438,79.6289364187,63.8784615615
73607,0.0294428,-64.8202972412,-176.744195747,210.800842285,68.8839569092,167.716484522,56.14899519
73608,0.0294432,-145.400436401,175.629883982,133.701156616,63.5137786865,221.178875208,74.2094092381
73609,0.0294436,-161.809188843,-35.2718267614,306.471893311,24.6981773376,207.263733106,40.1340071091
73610,0.029444,149.116836548,-69.1460255972,54.0370254517,171.470108032,116.932456307,126.552054241
73611,0.0294444,-82.2126998901,-151.706884318,47.6759872437,36.6878738403,33.0863017937,100.616188615
73612,0.0294448,155.928466797,-61.4816896765,42.8018684387,52.3545608521,99.93530976,42.1664810435
73613,0.0294452,-169.376571655,-2.85069400619,169.852874756,164.596481323,78.2752742133,102.625009253
73614,0.0294456,-31.095199585,118.658941584,230.367095947,99.2975311279,119.038817194,50.1852087954
73615,0.029446,177.175018311,59.1270966296,77.7946014404,84.5044326782,33.4636580334,80.1383201577
73616,0.0294464,133.168426514,138.856314074,160.078109741,223.892822266,164.281328907,166.78511754
73617,0.0294468,-29.6667137146,154.02190597,90.9175415039,43,126.6166155,105.130492312
73618,0.0294472,-63.1777763367,131.324196861,109.004585266,133.454116821,80.0420152526,53.4577551734
73619,0.0294476,178.111801147,111.298135994,201.546524048,107.517440796,158.218279023,112.92854443
73620,0.029448,38.7949104309,97.6546731547,62.9364738464,110.494338989,122.153201012,129.206986556
73621,0.0294484,-64.5781097412,95.0723459233,155.708068848,72.1248931885,112.150076387,37.653631135
73622,0.0294488,56.2013969421,-26.2767980047,130.096115112,65.2763366699,155.800732015,84.014454538
73623,0.0294492,-109.888565063,-140.587734055,53.1507301331,126.649116516,75.6692146431,70.7702027066
73624,0.0294496,-62.2221603394,66.0090801985,199.91998291,60.8769226074,189.672342275,54.1776201228
73625,0.02945,-104.178848267,81.2853899677,159.81237793,157.308624268,176.905618505,101.499061873
73626,0.0294504,-88.3777999878,150.644249121,218.524581909,82.2800140381,189.493911727,102.293024499
73627,0.0294508,141.416625977,-155.887556037,49.2442893982,47.5394554138,35.6071515241,62.1375780205
73628,0.0294512,-63.2877655029,87.1829205214,167.585784912,36.3593177795,104.710657408,34.4288263982
73629,0.0294516,104.961685181,-14.4479080062,147.871566772,89.8721313477,68.6097020022,66.3600431258
73630,0.029452,101.837638855,-13.2826727858,88.9550476074,43.5660438538,163.441363497,20.1928577906
73631,0.0294524,49.3521728516,95.1783233009,104.995239258,91.5860214233,61.0027777177,92.7439902333
73632,0.0294528,7.25391817093,165.818288075,97.0463790894,117.59677124,54.6652785518,111.962310689
73633,0.0294532,30.0467319489,-170.140576934,85.7029800415,57.1401786804,19.3272069728,73.1537649923
73634,0.0294536,78.3478393555,31.5864054318,146.758300781,93.5200576782,122.672981675,87.9270700312
73635,0.029454,-18.7768249512,92.837409803,116.914505005,161.375335693,131.975529807,113.406487432
73636,0.0294544,125.128578186,-98.5982437562,145.660568237,44.5982093811,47.901053236,43.4094582409
73637,0.0294548,-138.811676025,89.5789557056,170.425933838,26.4007568359,81.4883248529,50.758014664
73638,0.0294552,-175.477539062,159.815149832,50.2195129395,70.7106781006,61.1005791859,29.8604340653
73639,0.0294556,161.0572052,9.72099659413,70.0642547607,130.361038208,61.6773862818,29.9734500774
73640,0.029456,-23.3574733734,150.064235831,195.350967407,205.060958862,88.3345161347,123.453658999
73641,0.0294564,70.7129821777,-167.833218549,44.407207489,80.4487457275,54.6734408757,153.17610338
73642,0.0294568,-167.80897522,-151.826342935,121.247680664,99.0858154297,67.4870136428,131.856043049
73643,0.0294572,61.9676933289,-141.921338814,68.8839645386,122.971542358,96.1718091315,115.166729858
73644,0.0294576,-39.2591209412,143.634143681,148.222808838,140.11781311,123.595783536,96.3995636463
73645,0.029458,125.52999115,151.771942881,73.0616226196,71.1758422852,73.7634001589,82.3710181882
73646,0.0294584,23.7397251129,112.49547628,181.041427612,180.31362915,113.90065594,107.93949658
73647,0.0294588,-3.691385746,31.1150623908,19.6468849182,63.245552063,87.0216224967,39.3001478811
73648,0.0294592,-30.3938217163,-79.369207288,129.375427246,59.1692504883,100.563763235,63.0975354614
73649,0.0294596,-99.9452667236,-53.7524800533,185,186.818084717,143.221549235,83.9220699065
73650,0.02946,-76.7491836548,77.3364475705,110.136283875,159.201126099,172.342914327,93.8065949833
73651,0.0294604,-99.1688842773,52.9704296327,193.196792603,324.83380127,150.742773272,238.691867729
73652,0.0294608,-52.3112106323,-57.8997715875,80.9938278198,93.3005905151,29.8657566852,89.2159796672
73653,0.0294612,-80.8442459106,-14.0833198829,86.3712844849,64.03125,47.3229501389,88.2436814962
73654,0.0294616,-161.660308838,-57.9099643982,111.359771729,111.018013,136.235074682,117.943389657
73655,0.029462,129.565155029,-8.04587458118,160.561523438,178.272277832,125.387320098,156.518270604
73656,0.0294624,138.562271118,63.7506185183,88.0908660889,204.120071411,108.679364507,186.467392225
73657,0.0294628,-114.438011169,-129.854232203,27.8926506042,114.47706604,58.2940014742,138.887078237
73658,0.0294632,80.4044342041,-53.9044598739,105.361282349,106.018859863,112.98822166,78.2333230416
73659,0.0294636,41.0774765015,-178.126329407,120.805625916,79.4040222168,93.6964411577,71.0291629131
73660,0.029464,101.773323059,136.958614464,124.823875427,144.920669556,136.432424071,109.778903102
73661,0.0294644,130.780899048,-91.3086884836,128.160049438,20.248456955,76.4291003565,13.9978632832
73662,0.0294648,16.8232898712,-16.2919016051,88.294960022,92.1954498291,30.5221175259,82.4999746679
73663,0.0294652,-171.62336731,139.052536724,145.866363525,119.201515198,45.489190511,57.6095179935
73664,0.0294656,47.278087616,45.8672503573,163.514526367,148.717849731,97.9160417702,75.8189073199
73665,0.029466,-156.198059082,-28.5826692907,105.721328735,94.5938644409,143.903295442,34.3562774616
73666,0.0294664,44.1802406311,-3.65926494198,85.9592895508,46.5725250244,71.0924820027,13.3270668228
73667,0.0294668,7.60887622833,-8.32498799376,76.2430343628,62.8012695312,46.5917742748,127.546530866
73668,0.0294672,115.086250305,136.503633218,129.757461548,245.733612061,109.806714547,100.08045412
73669,0.0294676,-71.1976394653,85.7324635847,162.265213013,201.801879883,141.662820664,87.7735848935
73670,0.029468,-135.703292847,117.192960257,103.160072327,164.176727295,105.374270663,83.3804189562
73671,0.0294684,-78.638671875,176.515325829,149.090576172,155.463821411,159.947678561,95.0306327794
73672,0.0294688,2.56446504593,-175.182605482,225.177703857,54.5893745422,183.480118367,88.0864618471
73673,0.0294692,27.7709617615,156.570983432,117.08543396,152.269500732,120.592844865,85.1648666207
73674,0.0294696,-76.7522354126,171.941492236,143.293411255,116.970077515,146.820198361,113.890834874
73675,0.02947,-116.180183411,-171.038807296,191.094223022,36.2353401184,167.922947988,81.4733457504
73676,0.0294704,29.8542900085,-27.5086759018,61.6198005676,53.7587203979,83.6699542148,40.6498929535
73677,0.0294708,-160.345245361,60.7366967454,39.8120613098,104.100914001,60.3426012572,58.662221037
73678,0.0294712,152.43838501,66.2167762584,114.856437683,91.7877960205,93.7168362916,54.6431998542
73679,0.0294716,9.2101316452,-52.4959616949,86.4927749634,79.0253143311,62.6773798463,69.8729635221
73680,0.029472,136.838485718,-35.7711754082,69.0651855469,124.458824158,102.554751122,8.33555296427
73681,0.0294724,29.904624939,-29.0855140383,118.92855072,116.70904541,121.399903177,82.4945592735
