start_sample,stop_sample_exclusive,center_time_s,most_likely_rx1_minus_rx0_phase_deg,coherence_magnitude,minimum_normalized_prediction_error,conditional_phase_jackknife_se_deg,inside_paired_glrt_probe
257500,262500,0.1039998,37.2958515429,0.197524787424,0.98029789266,4.04683742472,1
258750,263750,0.1044998,37.9115675501,0.202667928994,0.97924752262,4.14215869314,1
260000,265000,0.1049998,34.8546252051,0.201118117427,0.979566997628,4.35654600722,1
261250,266250,0.1054998,31.0185834512,0.19760762906,0.98028119687,4.2701680842,1
262500,267500,0.1059998,25.546160361,0.205237221417,0.978712257482,3.37818281385,1
263750,268750,0.1064998,17.2377624462,0.21145736603,0.977387222319,3.36743644988,1
265000,270000,0.1069998,10.2845305094,0.210576300831,0.977577424825,4.30171235091,1
266250,271250,0.1074998,-0.992783931513,0.209920008448,0.977718563828,5.61458501593,1
267500,272500,0.1079998,-10.6210536572,0.209130585162,0.977887722773,5.20660604172,1
268750,273750,0.1084998,-14.0018735644,0.204177204581,0.978933945233,4.06684383149,1
270000,275000,0.1089998,-19.2671048669,0.208005886124,0.978127574163,3.18480411127,1
271250,276250,0.1094998,-20.6413278962,0.213124943486,0.977024952836,3.55771553723,1
272500,277500,0.1099998,-26.394467714,0.211475991224,0.977383192579,4.3839381975,1
273750,278750,0.1104998,-30.1041475009,0.216594960568,0.976261554634,3.63224447021,1
275000,280000,0.1109998,-36.4908920208,0.22386845438,0.974619369361,3.38642912776,1
276250,281250,0.1114998,-42.8096099378,0.20638358789,0.97847116189,4.52255240447,1
277500,282500,0.1119998,-42.9213023615,0.211460844175,0.977386469817,4.75514514237,1
278750,283750,0.1124998,-48.2731814583,0.212073246762,0.977253773596,4.03050855187,1
280000,285000,0.1129998,-50.8444804266,0.203475846449,0.979079966046,3.55463441874,1
281250,286250,0.1134998,-51.4959530838,0.20945123498,0.977819093782,3.83635293404,1
282500,287500,0.1139998,-55.1294604881,0.207841825632,0.97816244843,2.40949106071,1
283750,288750,0.1144998,-58.5553714704,0.208766041777,0.977965612791,2.36396949849,1
285000,290000,0.1149998,-60.6616309638,0.210956546941,0.977495440042,2.52795689119,1
286250,291250,0.1154998,-64.6025728085,0.210842982782,0.977519941797,3.0891046715,1
287500,292500,0.1159998,-73.7613007089,0.210438795823,0.977607034146,4.48555792007,1
288750,293750,0.1164998,-79.5727493689,0.217611914003,0.976035375836,4.20575782015,1
290000,295000,0.1169998,-89.8227856477,0.209395170784,0.977831101189,4.23253092408,1
291250,296250,0.1174998,-93.6455926731,0.205405410279,0.978676972973,3.2253699184,1
292500,297500,0.1179998,-95.3179425898,0.202072416925,0.979370582731,3.32655340314,1
