joint_state,session_id,rx0_tracklet_id,rx1_tracklet_id,review_agreement,distinct_paired_visits,rx0_stored_top_id,rx1_stored_top_id,joint_best_number,joint_runner_up_number,joint_train_leader_persisted,joint_best_eval_rms_hz,joint_runner_eval_rms_hz,rx0_individual_best,rx1_individual_best
scored,scan-hop-1bec690f93ce0b1e,sha256:688a84cd7e69dbbba2d06dff8bb3214efd3bef85b357dd511e673f801ec5c5d0,sha256:b3d8408d851453f7b029c52d75459341c16b77376c14914f4307cbfe27570b76,unreviewed-side,5,,62048,62048,52707,True,115.63867857846593,1157.5455142960222,62048,62048
scored,scan-hop-1bec690f93ce0b1e,sha256:755cb73b36e53edbc7f77e78ae8a42761d3f2810bbe84043c88feb16202f491a,sha256:a93d7a231f31fdd7976a49e8e40a7b81b64d7b6b8dbfacf719b47db3e8b3ebdd,same-leader,24,65368,65368,65368,45772,True,90.18401402357041,1813.2341870149476,65368,65368
scored,scan-hop-1bec690f93ce0b1e,sha256:7603a6aa98ec73950326a1a0c1189e7f3c454bb99c1696af0a7e25016f52a768,sha256:251a494a26b9bb998d8603b87eff21146b17a61501ae45a8940578ce5321e6d0,unreviewed-side,7,,63566,63566,67704,True,136.52923294455542,550.1311088150135,63566,63566
scored,scan-hop-1bec690f93ce0b1e,sha256:7c05cbc74d95bf756b86e4e88d688f513e9fe1b44ea71b341e447fcfb7b66e0d,sha256:55a377b4d8280120781f559b27ad508528da75560808839bd91eac42b54b1c4b,same-leader,26,63566,63566,63566,60255,True,186.18689057145585,1961.2114181895333,63566,63566
scored,scan-hop-1bec690f93ce0b1e,sha256:7e901056d6db0bacc1b1f09ba77dfa3642e9ca6bff901a580aa26da17f83917c,sha256:c1135933301d66f463faf346139adc8364fd8e572e16aa07b8d73d25aa1b4460,same-leader,26,52847,52847,52847,48099,True,111.48223413683559,3189.0437179944556,52847,52847
scored,scan-hop-1bec690f93ce0b1e,sha256:b5de9f3092132f5bc7e9deb392e695d52ec30bf3f8c39627432983a04dd85294,sha256:b6fa7df071e5b86199b59335679d0df05ea35460be7d335f40a1174624050b37,same-leader,6,62506,62506,62506,58113,True,647.1426125395925,1033.605173728429,62506,62506
scored,scan-hop-1bec690f93ce0b1e,sha256:cca11731ca81acd717a02b04e64000fba4f1c075cd10a944d5a891e818a19f77,sha256:22e6560ed12f1c9495a71195f2283e8ede66b54d42d19c424e68228c5dd904d7,same-leader,3,63566,63566,63566,60255,True,78.63272216856328,2013.1102265477716,63566,63566
scored,scan-hop-1bec690f93ce0b1e,sha256:ea7a3d71083b115ac0481c2e28b1ba564aee89b38e7646ec45741e27ea94cc07,sha256:5037cf28f56feca32df9301a539a604adeabb37dfb1d4452984c42280bfafbcb,same-leader,10,65924,65924,65924,67704,True,87.07262958771956,1878.136719001958,65924,65924
scored,scan-hop-1bec690f93ce0b1e,sha256:eb493946a7f19af557b1ab1c134642df83d9929b950c89bb9985e3091e3d72cd,sha256:6d822e5f6a655e21a57dea6298659da74be5a4a4e536d933676b5a030baf21e9,unreviewed-side,7,,65924,65924,67704,True,60.810794610278094,266.5067775891986,65924,65924
scored,scan-hop-1c86f4032d91cb95,sha256:0a6d715bbb4cbcfa7f95578c53bd4bef87ca2534a5e1c1ff4d89f9e2d50c9a71,sha256:dcf8f2a762f2dfd5136fa681393f8eda9e5b65892fbafac32f411ca0dde26918,same-leader,20,65460,65460,65460,69761,True,149.23931025872042,2343.2226716886134,65460,65460
scored,scan-hop-1c86f4032d91cb95,sha256:1a2769cb8500ec66046c455a12d5ec7742b0d3c4bc65cd9b9384fc30b56787d4,sha256:f24083c02299aee4269c37843001bee445d19a5b85488970c55e5ef7cecfef81,same-leader,17,69985,69985,69985,53405,True,163.85999508898533,4970.079552511195,69985,69985
scored,scan-hop-1c86f4032d91cb95,sha256:1b8c53f076df63919017374335f263019ce626184d2780e18adf7d3ff896b5f1,sha256:7dbe7ddf0a89d3d4c0c6b3b1033dd346a4ff9fdba7f678947887ec3fab5d53a4,same-leader,8,65460,65460,65460,69761,True,86.96070692089724,377.6583399851687,65460,65460
scored,scan-hop-1c86f4032d91cb95,sha256:642c56ca1b78401b376708a9e6e555da210ee9c0c2c0c6722b2070596ce51edd,sha256:9a232dcbdea49975d7020bafe0c54f621083ac45b07be876069bc844ef29158e,unreviewed-side,8,,64010,68625,64010,True,131.66755230328116,135.90605648165234,68625,64010
scored,scan-hop-1c86f4032d91cb95,sha256:9048deaf7d157a99de8151dd7b0e7219c82fbbaaa0748bd89643d6d49cf43d1a,sha256:eea55c343ef5e7e4ef25a4f913f02a33175e2c6d56ea8a61accff8bd3d29214b,same-leader,7,65470,65470,65470,65469,True,119.58020038100042,276.0818643896863,65470,65470
scored,scan-hop-1c86f4032d91cb95,sha256:91b4912dbdfa94364f44b6894f2e6183bf6a998ca7dd4160273752223198a8b2,sha256:4dea1bd8095c28bb68fa3beb78e43c292f4cb526b889e65f2767dacfc665453c,same-leader,5,63862,63862,63862,50197,True,370.5630918503208,2261.4198323232995,63862,63862
scored,scan-hop-1c86f4032d91cb95,sha256:d0c6d07a7b03216c1f860f0c11fc1e27bdc92026b2e1cd5705dfc14647048bae,sha256:58c21237799f2e2280c65a647d28140f4238720d7363be0e6e62d578f33064cc,unreviewed-side,5,,57499,57499,63553,True,113.7020627215671,695.7270962065667,57499,57499
scored,scan-hop-1c86f4032d91cb95,sha256:fa26e380f6c4bb18150df09b1f0c15852d218dba8e39f0b29468f6c14bea697d,sha256:3b4104b8cd1347e6c1740122f240340c42cf18e831a7f37484d202e1ab46017b,same-leader,16,57499,57499,57499,63636,True,93.20992287751059,1389.4066850313793,57499,57499
